Right_Shank_Ax,Right_Shank_Az,Right_Shank_Gy,Left_Shank_Ax,Left_Shank_Az,Left_Shank_Gy,Mode,phase
0.976666666666667,-0.296666666666667,0.386666666666667,1.04,-0.09,-2.84,1,1
0.975,-0.2875,0.39,1.04,-0.09,-2.84,1,1
0.974,-0.282,0.392,1.042,-0.088,-2.854,1,1
0.974,-0.272,0.396,1.044,-0.086,-2.868,1,1
0.972,-0.266,0.398,1.046,-0.082,-2.904,1,1
0.972,-0.262,0.4,1.048,-0.078,-2.94,1,1
0.974,-0.266,0.4,1.05,-0.074,-2.976,1,1
0.976,-0.27,0.4,1.042,-0.056,-3.016,1,1
0.978,-0.272,0.394,1.034,-0.038,-3.056,1,1
0.98,-0.274,0.388,1.026,-0.022,-3.074,1,1
0.98,-0.274,0.382,1.018,-0.004,-3.092,1,1
0.976,-0.268,0.38,1.008,0.018,-3.108,1,1
0.972,-0.266,0.384,1.006,0.024,-3.106,1,1
0.968,-0.266,0.394,1.004,0.028,-3.104,1,1
0.968,-0.272,0.414,1.002,0.032,-3.102,1,1
0.966,-0.28,0.436,1.004,0.042,-3.098,1,1
0.968,-0.292,0.454,1.01,0.048,-3.08,1,1
0.974,-0.302,0.464,1.016,0.054,-3.062,1,1
0.982,-0.314,0.47,1.02,0.056,-3.038,1,1
0.988,-0.318,0.464,1.028,0.06,-3.006,1,1
0.996,-0.322,0.452,1.032,0.056,-2.976,1,1
1.004,-0.326,0.44,1.028,0.056,-2.836,1,1
1.006,-0.322,0.436,1.024,0.056,-2.696,1,1
1.006,-0.316,0.436,1.018,0.054,-2.498,1,1
1.004,-0.312,0.438,1.006,0.038,-2.286,1,1
1.002,-0.304,0.448,0.994,0.022,-2.074,1,1
1.002,-0.286,0.47,0.992,-0.018,-1.846,1,1
1.004,-0.274,0.486,0.986,-0.062,-1.59,1,1
1.006,-0.262,0.502,0.984,-0.098,-1.398,1,1
1.03,-0.232,0.58,0.984,-0.122,-1.228,1,1
1.048,-0.202,0.664,0.98,-0.152,-1.03,1,1
1.064,-0.182,0.736,0.968,-0.164,-0.946,1,1
1.08,-0.162,0.808,0.95,-0.174,-0.856,1,1
1.098,-0.144,0.888,0.926,-0.188,-0.732,1,1
1.094,-0.144,0.906,0.902,-0.202,-0.608,1,1
1.096,-0.146,0.914,0.864,-0.256,-0.302,1,2
1.1,-0.15,0.93,0.83,-0.308,-0.024,1,2
1.114,-0.158,0.952,0.804,-0.36,0.25,1,2
1.134,-0.168,0.972,0.784,-0.408,0.49,1,2
1.154,-0.178,0.992,0.764,-0.456,0.73,1,2
1.182,-0.19,1.018,0.764,-0.458,0.792,1,2
1.2,-0.198,1.046,0.764,-0.46,0.854,1,2
1.206,-0.202,1.074,0.766,-0.46,0.886,1,2
1.204,-0.2,1.102,1.014,-0.44,0.938,1,2
1.202,-0.198,1.13,0.874,-0.382,1.04,1,2
1.204,-0.194,1.184,0.732,-0.324,1.11,1,2
1.214,-0.192,1.228,0.59,-0.266,1.18,1,2
1.226,-0.19,1.266,0.73,-0.122,1.23,1,2
1.248,-0.178,1.306,0.624,0.002,1.26,1,2
1.27,-0.166,1.346,0.906,0.088,1.24,1,3
1.28,-0.154,1.354,1.088,0.298,1.204,1,3
1.29,-0.142,1.362,1.26,0.408,1.288,1,3
1.304,-0.122,1.372,1.154,0.404,1.39,1,3
1.308,-0.114,1.374,1.102,0.378,1.454,1,3
1.328,-0.082,1.494,1.05,0.352,1.518,1,3
1.348,-0.05,1.614,1.096,0.21,1.602,1,3
1.378,-0.066,1.812,1.12,0.07,1.646,1,3
1.398,-0.102,2.012,1.14,-0.042,1.692,1,3
1.418,-0.138,2.212,1.106,-0.132,1.776,1,3
1.412,-0.202,2.298,1.066,-0.212,1.866,1,3
1.406,-0.266,2.384,1.036,-0.308,1.954,1,3
1.39,-0.282,2.392,1.022,-0.316,1.942,1,3
1.398,-0.306,2.392,1.008,-0.324,1.93,1,3
1.404,-0.332,2.386,0.994,-0.332,1.918,1,3
1.42,-0.354,2.376,0.99,-0.35,1.876,1,3
1.436,-0.374,2.35,0.978,-0.36,1.832,1,3
1.452,-0.394,2.324,0.992,-0.322,1.73,1,3
1.42,-0.428,2.264,1.006,-0.284,1.628,1,3
1.374,-0.476,2.192,1.02,-0.246,1.526,1,3
1.328,-0.524,2.12,1.028,-0.202,1.43,1,4
1.282,-0.574,2.064,1.032,-0.124,1.326,1,4
1.236,-0.624,2.008,1.026,-0.084,1.3,1,4
1.186,-0.64,1.966,1.02,-0.044,1.274,1,4
1.03,-0.678,1.848,1.01,-0.002,1.228,1,4
0.842,-0.63,1.64,1.004,0.018,1.182,1,4
0.654,-0.582,1.432,1,-0.026,1.092,1,4
0.488,-0.56,1.198,1.004,-0.084,0.992,1,4
0.374,-0.556,0.962,1.008,-0.142,0.892,1,4
0.382,-0.514,0.82,1.016,-0.202,0.812,1,4
0.428,-0.534,0.712,1.022,-0.246,0.75,1,4
0.474,-0.554,0.604,1.02,-0.262,0.726,1,4
0.498,-0.548,0.522,1.008,-0.248,0.714,1,4
0.534,-0.544,0.428,0.994,-0.246,0.7,1,4
0.568,-0.44,0.248,0.98,-0.244,0.686,1,4
0.596,-0.36,0.124,0.972,-0.238,0.67,1,4
0.624,-0.28,-0,0.978,-0.22,0.63,1,4
0.628,-0.182,-0.128,0.986,-0.218,0.588,1,4
0.588,-0.066,-0.222,0.996,-0.204,0.548,1,4
0.54,-0.05,-0.236,1.008,-0.188,0.496,1,4
0.492,-0.034,-0.25,1.014,-0.176,0.446,1,4
0.442,-0.026,-0.274,1.016,-0.174,0.434,1,4
0.416,-0.036,-0.294,1.014,-0.17,0.412,1,4
0.404,-0.044,-0.31,1.012,-0.166,0.39,1,4
